Key,Português [pt-BR]
JOTL_031_B,Todos os inimigos adjacentes sofrem 1 de dano.
JOTL_032_B,"Se o seu Favorito estiver dentro ou adjacente ao seu hexágono, você pode realizar"
JOTL_033_T,"Em seus próximos cinco ataques contra um inimigo que tenha seu Favorito, adicione <nobr>+2 Ataque <sprite name=Attack></nobr>."
JOTL_034_T,"Adicione <nobr>+2 de Ataque <sprite name=Attack></nobr> e ganhe <sprite name=XP1> se o alvo tiver seu Favorito, depois devolva a ficha para a carta dele."
JOTL_035_B,"Nas próximas cinco vezes que você matar um inimigo, todos os inimigos adjacentes ao hexágono em que ele morreu sofrem 2 de dano."
JOTL_036_B,Adicione <nobr>+2 Ataque <sprite name=Attack></nobr> ao seu próximo ataque neste turno se você estiver adjacente a um aliado.
JOTL_037_T,Um inimigo normal ou de elite adjacente sofre 12 de dano.
JOTL_037_B,"Se você matou um inimigo nesta rodada, devolva seu Favorito à sua Habilidade Ativa e ganhe <sprite name=XP1>."
JOTL_038_B,"Nas próximas quatro vezes que você matar um inimigo, realize uma ação de ""<nobr>Cura <sprite name=Heal> 3</nobr>, <nobr>Alcance <sprite name=Range> 2</nobr>, <nobr>BENÇÃO <sprite name=Bless></nobr>""."
JOTL_082_T,"Nos seus próximos dois ataques, adicione <nobr>+2 Ataque <sprite name=Attack></nobr>."
JOTL_082_B,Dobre o valor do seu próximo <nobr>Movimento.</nobr>
JOTL_083_T,Adicione <nobr>+2 de Ataque <sprite name=Attack></nobr> e ganhe <sprite name=XP1> se o alvo estiver adjacente a uma parede.
JOTL_083_B,Um inimigo adjacente que esteja adjacente a uma parede sofre 2 de dano.
JOTL_084_T,Todas as curas direcionadas ao alvo atacado não têm efeito nesta rodada.
JOTL_084_B,"Destrua um obstáculo adjacente. Se você fizer isso, ganhe <sprite name=XP1> e realize"
JOTL_085_T_1,"Destrua um obstáculo adjacente. Se você fizer isso, ganhe <sprite name=XP2> e execute"
JOTL_085_T_2,Mire em todos os inimigos adjacentes ao obstáculo destruído
JOTL_085_T_3,Cada alvo sofre 2 de dano.
JOTL_086_B,Destrua um obstáculo adjacente para criar dois obstáculos de hexágono único em hexágonos vazios adjacentes ao obstáculo original.
JOTL_088_B,"Se você abriu uma porta durante o movimento, realize"
JOTL_089_B,"Destrua um obstáculo adjacente. Se você fizer isso, ganhe <sprite name=XP1> e realize"
JOTL_090_T,"Adicione <nobr>EMPURRAR <sprite name=Push> 2</nobr>, <nobr>CONFUNDIR <sprite name=Muddle></nobr> e ganhe <sprite name=XP1> se este ataque atingir o mesmo inimigo da habilidade de ataque anterior."
JOTL_091_T,"Este movimento pode terminar em um hexágono contendo um obstáculo. Se isso acontecer, ganhe <sprite name=XP1>, destrua o obstáculo e realize"
JOTL_091_B,"Se você estiver adjacente a uma parede, crie um obstáculo de hexágono único em um hexágono vazio adjacente a você."
JOTL_092_T,Adicione <nobr>+3 de Ataque <sprite name=Attack></nobr> e ganhe <sprite name=XP1> se o alvo for um objeto com vida.
JOTL_092_B,Adicione <nobr>+1 Ataque <sprite name=Attack></nobr> a todos os seus ataques corpo a corpo nesta rodada.
JOTL_093_T,Crie uma armadilha  de 3 de  com dano<nobr>CONFUNDIR <sprite name=Muddle></nobr> em um hexágono vazio dentro de um <nobr>Alcance <sprite name=Range> 3</nobr>.
JOTL_093_B_1,"Escolha um inimigo adjacente. Se cada hexágono do movimento trouxer você para mais perto daquele inimigo, realize"
JOTL_093_B_2,"mirando naquele inimigo, onde X é o número de hexágonos que você moveu."
JOTL_094_B,Este movimento não é afetado por terrenos difíceis.
JOTL_095_T,"Em seus próximos quatro ataques contra inimigos adjacentes a uma parede, adicione <nobr>+2 de Ataque <sprite name=Attack></nobr>."
JOTL_095_B_1,"Cada vez que você entrar em um hexágono contendo um obstáculo com este movimento, destrua aquele obstáculo e adicione <nobr>+1 Movimento <sprite name=Move></nobr>."
JOTL_095_B_2,"Todos os inimigos atravessados sofrem 1 de dano, <sprite name=XP1>."
JOTL_096_B,"Destrua um obstáculo adjacente. Se você fizer isso, ganhe <sprite name=XP1> e todos os inimigos adjacentes ao obstáculo destruído sofrem 2 de dano."
JOTL_097_T,"Adicione +1 de Ataque para cada hexágono de parede, obstáculo, objeto com vida, personagem ou armadilha adjacente ao alvo."
JOTL_097_B,Mova um obstáculo adjacente ao seu hexágono inicial para um hexágono vazio adjacente a você.
JOTL_098_T_1,"Destrua um obstáculo dentro do <nobr>Alcance <sprite name=Range> 4</nobr>. Se o fizer, realize"
JOTL_098_T_2,Mire em todos os inimigos adjacentes ao obstáculo destruído
JOTL_098_B,Crie três armadilhas de 3 de dano em hexágonos vazios dentro do <nobr>Alcance <sprite name=Range> 4</nobr>.
JOTL_099_T,"Adicione <nobr>+2 Ataque <sprite name=Attack></nobr>, <nobr>FERIMENTO <sprite name=Wound></nobr> e ganhe <sprite name=XP1> se o alvo estiver adjacente a uma parede."
JOTL_101_T_1,O valor atual e máximo do seus pontos de vida aumentam em 5.
JOTL_101_T_2,Recupere todas as suas cartas descartadas.
JOTL_101_B_1,"Se o alvo estiver adjacente a uma parede, você pode criar um obstáculo de hexágono único em um hexágono vazio adjacente ao alvo."
JOTL_102_B,"Destrua um obstáculo adjacente. Se você fizer isso, ganhe <sprite name=XP1> e realize"
JOTL_103_T,"Ignore o valor de Escudo do alvo, adicione <nobr>VENENO <sprite name=Poison></nobr> e ganhe <sprite name=XP1> se este ataque atingir o mesmo inimigo que as duas habilidades de Ataque anteriores."
JOTL_103_B,Você e todos os aliados podem ignorar o valor do Escudo do inimigo alvo adjacente nesta rodada.
JOTL_104_B,Cada objeto com vida dentro de <nobr>Alcance <sprite name=Range> 3</nobr> sofre 3 de dano.
JOTL_105_T,"Nos seus próximos três ataques contra inimigos que você atacou anteriormente na mesma rodada, adicione <nobr>+3 Ataque <sprite name=Attack></nobr>."
JOTL_105_B_1,Adicione <nobr>IMOBILIZAR <sprite name=Immobilize></nobr> a todos os seus ataques nesta rodada.
JOTL_105_B_2,"Adicione também <nobr>CONFUNDIR <sprite name=Muddle></nobr>, <sprite name=XP1>"
JOTL_107_T,Destrua todos os obstáculos na área alvo. Todos os aliados na área alvo sofrem 2 de dano.
JOTL_107_B,Todos os inimigos adjacentes que estão adjacentes a uma parede sofrem 2 de dano.
JOTL_108_T_1,"Destrua um obstáculo ou objeto com vida adjacente. Se você fizer isso, ganhe <sprite name=XP1> e realize"
JOTL_108_T_2,Mire em todos os inimigos adjacentes ao objeto ou obstáculo destruído
JOTL_108_B,"Destrua um obstáculo adjacente. Se você fizer isso, ganhe <sprite name=XP1> e todos os inimigos na mesma sala que o obstáculo destruído sofrem 2 de dano."
JOTL_109_B,Você pode executar qualquer habilidade de destruir obstáculo como se um hexágono vazio dentro do alcance da habilidade contivesse um obstáculo.
JOTL_151_T_1,Um aliado dentro do <nobr>Alcance <sprite name=Range> 3</nobr> pode realizar
JOTL_151_T_2,Esse mesmo aliado pode realizar
JOTL_151_B,"No início de seus próximos cinco turnos, execute uma ação ""<nobr>AMALDIÇOAR <sprite name=Curse></nobr>, <nobr>Alcance <sprite name=Range> 2</nobr>""."
JOTL_152_T,Todos os aliados que removerem <nobr>VENENO <sprite name=Poison></nobr> com esta cura ganham <nobr>BENÇÃO <sprite name=Bless></nobr>.
JOTL_152_B,Force todos os inimigos dentro do <nobr>Alcance <sprite name=Range> 3</nobr> a realizar
JOTL_153_T_1,Um aliado adjacente pode realizar
JOTL_153_T_2,"mirando no alvo do <nobr>VENENO <sprite name=Poison></nobr>. Se isso acontecer, o aliado sofre 2 pontos de dano."
JOTL_154_B,Um aliado dentro do <nobr>Alcance <sprite name=Range> 3</nobr> pode realizar
JOTL_155_B,Ignore a <nobr>MALDIÇÃO <sprite name=Curse></nobr> em vez disso.
JOTL_156_T,Um aliado dentro do <nobr>Alcance <sprite name=Range> 2</nobr> pode realizar
JOTL_157_B_1,Force um inimigo dentro do <nobr>Alcance <sprite name=Range> 3</nobr> a realizar
JOTL_157_B_2,mirando em um inimigo de sua escolha. O inimigo atuante sofre dano igual ao dano sofrido pelo alvo.
JOTL_158_T,Forçar o alvo a executar
JOTL_158_B_1,Um aliado dentro do <nobr>Alcance <sprite name=Range> 3</nobr> pode realizar
JOTL_158_B_2,"Se isso acontecer, ganhe <sprite name=XP1> e esse aliado sofre 2 de dano."
JOTL_160_T,"O primeiro ataque realizado em cada uma de suas ações de concessão de ataque ganha Vantagem, e o alvo pode consumir qualquer <nobr>elemento <sprite name=ConsumeAny></nobr> para adicionar <nobr>+1 Ataque <sprite name=Attack></nobr> a ele. Além disso, quando você concede ataques a monstros, eles usam seu baralho de modificadores de ataque."
JOTL_161_T_1,Force um inimigo dentro do <nobr>Alcance <sprite name=Range> 4</nobr> a realizar
JOTL_161_T_2,mirando em um inimigo de sua escolha adjacente a eles.
JOTL_161_T_3,<nobr>ATORDOE <sprite name=Stun></nobr> o inimigo ativo.
JOTL_162_T_1,Force todos os inimigos dentro do <nobr>Alcance <sprite name=Range> 3</nobr> a realizar
JOTL_162_T_2,mirando em inimigos de sua escolha adjacentes a eles.
JOTL_163_B,Todos os aliados adjacentes sofrem 1 de dano.
JOTL_164_T,"Nas próximas três vezes depois que um aliado atacar um inimigo com <nobr>VENENO <sprite name=Poison></nobr>, esse aliado pode realizar uma ação de""<nobr>Cura <sprite name=Heal> 1</nobr>, em si mesmo""."
JOTL_165_T_1,Mire a si mesmo ou um aliado dentro do <nobr>Alcance <sprite name=Range> 2</nobr>
JOTL_165_T_2,Escolha um aliado diferente dentro do <nobr>Intervalo <sprite name=Range> 3</nobr>
JOTL_166_T,Um aliado dentro do <nobr>Alcance <sprite name=Range> 3</nobr> pode realizar
JOTL_167_T,Embaralhe uma carta de <nobr>BENÇÃO <sprite name=Bless></nobr> no baralho de modificador de ataque do monstro.
JOTL_167_B_1,"Na próxima vez que você conceder um ataque neste turno, adicione <nobr>+1 Ataque <sprite name=Attack></nobr> a toda a ação de Ataque."
JOTL_167_B_2,Adicione <nobr>+2 Ataque <sprite name=Attack></nobr> em vez disso.
JOTL_167_B_3,Todos os ataques direcionados a você adicionam <nobr>+2 Ataque <sprite name=Attack></nobr> nesta rodada. Esta carta não pode ser descartada antes do final da rodada.
JOTL_168_T,"No início de seus próximos cinco turnos, um aliado dentro do <nobr>Alcance <sprite name=Range> 3</nobr> pode realizar uma ação ""<nobr>Ataque +2 <sprite name=Attack></nobr>""."
JOTL_168_B_1,Ignore a <nobr>MALDIÇÃO <sprite name=Curse></nobr> em vez disso.
JOTL_168_B_2,Um aliado dentro do <nobr>Alcance <sprite name=Range> 3</nobr> pode realizar
JOTL_169_T_1,Force um inimigo dentro do <nobr>Alcance <sprite name=Range> 3</nobr> a realizar
JOTL_169_T_2,mirando em todos os outros inimigos adjacentes a ele. O inimigo ativo sofre 1 de dano para cada inimigo mirado.
JOTL_170_B_1,Force um inimigo adjacente a realizar
JOTL_170_B_2,com você controlando a ação. Esse inimigo ganha <nobr>IMOBILIZAR <sprite name=Immobilize></nobr>.
JOTL_172_T,Coloque uma sentinela em um hexágono vazio adjacente. É considerado um obstáculo para todos os efeitos. Todos os inimigos que entrarem em um hexágono adjacente à sentinela ganham <nobr>VENENO <sprite name=Poison></nobr>. Todos os inimigos ganham Desvantagem em todos os ataques não concedidos por você enquanto estiverem dentro do <nobr>Alcance <sprite name=Range> 3</nobr> da Sentinela.
JOTL_172_B_1,Um aliado ou inimigo dentro do <nobr>Alcance <sprite name=Range> 3</nobr> pode realizar
JOTL_172_B_2,mirando em um inimigo de sua escolha.
JOTL_173_T,"Até dois aliados dentro do <nobr>Alcance <sprite name=Range> 2</nobr> sofrem 2 de dano cada. Cada aliado que o fizer, então, realiza"
JOTL_173_B,Ignore a <nobr>MALDIÇÃO <sprite name=Curse></nobr> em vez disso.
JOTL_174_T,"Cure todo o dano em um aliado dentro do <nobr>Alcance <sprite name=Range> 3</nobr>. Se você fizer isso, esse aliado ganha <nobr>CONFUNDIR <sprite name=Muddle></nobr>."
JOTL_174_B,"Sempre que você ou qualquer aliado perder o <nobr>VENENO <sprite name=Poison></nobr>, ela ganha <nobr>FORTALECER <sprite name=Strengthen></nobr>."
JOTL_175_B,Force um inimigo dentro do <nobr>Alcance <sprite name=Range> 3</nobr> a realizar
JOTL_176_T_1,Um aliado dentro do <nobr>Alcance <sprite name=Range> 2</nobr> pode realizar
JOTL_176_T_2,"Se o fizerem, esse aliado pode realizar"
JOTL_176_T_3,onde X é a quantidade de dano sofrido pelo alvo do ataque.
JOTL_177_T,"Se qualquer alvo sofrer dano nesta rodada ou este efeito ativo for cancelado antes do final da rodada, ambos os alvos perderão <nobr>ATORDOAR <sprite name=Stun></nobr>."
JOTL_177_B,Você e todos os aliados dentro do <nobr>Alcance <sprite name=Range> 2</nobr> podem realizar
JOTL_178_T,"Nas suas próximas três habilidades de Cura, quando possível, mire em um aliado adicional."
JOTL_179_T_1,Force todos os outros inimigos dentro do <nobr>Alcance <sprite name=Range> 3</nobr> do alvo a realizar
JOTL_179_T_2,mirando no alvo da habilidade Veneno.
JOTL_179_B,Todos os aliados e inimigos dentro do <nobr>Alcance <sprite name=Range> 3</nobr> sofrem 1 de dano.
JOTL_180_B_1,Um aliado dentro do <nobr>Alcance <sprite name=Range> 3</nobr> pode realizar
JOTL_180_B_2,"Se isso acontecer, ganhe <sprite name=XP1> e aquele aliado ganha <nobr>VENENO <sprite name=Poison></nobr>."
JOTL_225_B,Todos os ataques direcionados a você ganham Desvantagem nesta rodada.
JOTL_227_B,Todos os inimigos adjacentes sofrem 1 de dano.
JOTL_230_T,"Nas próximas cinco vezes que um inimigo entrar em um hexágono adjacente a você, esse inimigo sofrerá 2 de dano."
JOTL_233_T,Escolha um inimigo em um alcance de 2 hexágonos
JOTL_226_T,"Cada vez que um inimigo adjacente atacar você, esse inimigo sofrerá dano igual ao seu valor de Escudo."
JOTL_235_B_1,Todos os inimigos atravessados sofrem 1 de dano.
JOTL_235_B_2,"2 de dano em vez disso, <sprite name=XP1>"
JOTL_236_T,Adicione <nobr>+3 Ataque <sprite name=Attack></nobr> se o alvo tiver uma condição negativa.
JOTL_237_B,<nobr>Saqueie <sprite name=Loot></nobr> cada hexágono que você entrar com este movimento.
JOTL_238_T,Todos os inimigos adjacentes sofrem 1 de dano.
JOTL_240_T_1,"Cada vez que o alvo é atacado nesta rodada, ele sofre 1 de dano."
JOTL_240_T_2,"2 de dano em vez disso, <sprite name=XP1>"
JOTL_240_T_3,"Se um Fogo for consumido, em vez disso,dê 2 de dano."
JOTL_241_T,Todos os inimigos adjacentes ao alvo sofrem 1 de dano.
JOTL_242_T,Mire em todos os inimigos dentro de 2 hexágonos
JOTL_244_T,"Coloque o Diabo de Areia em um hexágono vazio adjacente. É considerado uma armadilha para fins de foco e movimento dos monstros. No início de cada um de seus turnos, você pode movê-lo até 2 hexágonos e pode forçar qualquer personagem nele a se mover com ele. Sempre que um personagem se move para ele ou vice-versa (não quando se move junto), esse personagem sofre 1 de dano e ganha <nobr>CONFUNDIR <sprite name=Muddle></nobr>."
JOTL_245_T,"Nas próximas quatro vezes que um inimigo entrar em um hexágono adjacente a você, esse inimigo ganha <nobr>DESARMAR <sprite name=Disarm></nobr>."
JOTL_245_B,Todos os inimigos adjacentes sofrem 2 de dano.
JOTL_247_T_1,"Um aliado adjacente pode realizar uma ação ""<nobr>Ataque <sprite name=Attack> 3</nobr>"", <sprite name=XP1>."
JOTL_247_T_2,"Um aliado adjacente diferente pode realizar uma ação de<nobr>""Ataque <sprite name=Attack> 3</nobr>"",<sprite name=XP1>."
JOTL_247_B,Um inimigo adjacente sofre 1 de dano.
JOTL_250_T,"Toda vez que você for atacado nesta rodada, ganhe <nobr>Escudo <sprite name=Shield> X</nobr> para o ataque, onde X é o número de inimigos adjacentes a você no momento do ataque, até o máximo de 3."
JOTL_250_B,"Nas próximas cinco vezes que um inimigo entrar em um hexágono adjacente a você, execute uma ação ""<nobr>Curar <sprite name=Heal> 3</nobr> em si próprio""."
JOTL_252_T,"<nobr>+1 Ataque <sprite name=Attack></nobr>, <nobr>+2 Alcance <sprite name=Range></nobr>, todos os inimigos adjacentes ao alvo sofrem 1 de dano"
JOTL_252_B,Todos os inimigos adjacentes sofrem 3 de dano.
JOTL_379,Crie uma armadilha de 3 danos em um hexágono vazio adjacente mais próximo de um inimigo.
JOTL_387,<b><size=130%>Cura <sprite name=Heal> X</size></b>\nEm si próprio\nonde X é o dano sofrido pelo alvo do ataque
JOTL_417,Todos os inimigos adjacentes ao alvo do Ataque sofrem 1 de dano.
JOTL_422,"Se o ataque for realizado, a Monstruosidade sofre 1 de dano."
JOTL_423,Adicione <nobr>+1 Ataque <sprite name=Attack></nobr> se o alvo estiver adjacente a qualquer um dos aliados da Monstruosidade.
JOTL_426,Retalia em qualquer distância
JOTL_427,Monstruosidade sofre 1 de dano.
JOTL_434,"O inimigo mais próximo, independentemente do alcance, sofre {0} de dano."
Boss_FirstOfTheOrder_Special1,Todos os inimigos dentro do <nobr>Alcance <sprite name=Range> 2</nobr> sofrem 2 de dano.
Boss_FirstOfTheOrder_Special2,"<b><size=130%><nobr>Ataque <sprite name=Attack> {0}</nobr></b></size>\nEntão <nobr>Ataque <sprite name=Attack> {1}</nobr> dentro do <nobr>Alcance <sprite name=Range> 2</nobr> do primeiro alvo, então <nobr>Ataque <sprite name=Attack> {2}</nobr> dentro do <nobr>Alcance <sprite name=Range> 2</nobr> do segundo alvo"
Boss_BloodHorror_Special1,Reviva todos os Fanáticos mortos na área
Boss_BloodHorror_Special2,"Salte para o Fanático morto mais distante e o ressuscite como um Morto Vivo, caso contrário, pule para o personagem mais distante e Ataque +0"
Monstrosity_OnDeath,"Ao morrer, todos os personagens adjacentes sofrem {0} de dano."
ABILITY_CARD_SignsOfTheVoid,Sinais do Vazio
ABILITY_CARD_CloseToTheAbyss,Perto do Abismo
ABILITY_CARD_GiftOfTheVoid,Presente do Vazio
ABILITY_CARD_BlackBoon,Dádiva Negra
ABILITY_CARD_FreezeTheSoul,Congelar a alma
ABILITY_CARD_WickedScratch,Arranhão Maligno
ABILITY_CARD_TurnOutTheLights,Apague as luzes
ABILITY_CARD_LureOfTheVoid,Atração do Vazio
ABILITY_CARD_GraspOfDoom,Agarra da Perdição
ABILITY_CARD_MasterInfluence,Influência Mestre
ABILITY_CARD_Suggestion,Sugestão
ABILITY_CARD_ResignedFrenzy,Frenesi resignado
ABILITY_CARD_ColdEmbrace,Abraço Frio
ABILITY_CARD_SapWarmth,Calor da seiva
ABILITY_CARD_GiveAndTake,Dar e receber
ABILITY_CARD_CrushingCold,Frio Esmagador
ABILITY_CARD_TauntingFate,Provocando o Destino
ABILITY_CARD_CommandingPresence,Presença dominante
ABILITY_CARD_SavageInstinct,Instinto Selvagem
ABILITY_CARD_TheLastJourney,A última viagem
ABILITY_CARD_StandFast,Aguente firme
ABILITY_CARD_WitheringConviction,Convicção fulminante
ABILITY_CARD_SurgeOfPower,Surto de energia
ABILITY_CARD_HatefulBlast,Explosão de ódio
ABILITY_CARD_SpiritHunger,Fome de Espírito
ABILITY_CARD_LullIntoOblivion,Cair no esquecimento
ABILITY_CARD_EmpoweredLink,Link habilitado
ABILITY_CARD_EyeOfTheVoid,Olho do Vazio
ABILITY_CARD_PossessedByFate,Possuído pelo destino
ABILITY_CARD_SwiftStrength,Força Rápida
ABILITY_CARD_HealingSands,Areias de Cura
ABILITY_CARD_ShieldSpikes,Escudo de Espinhos
ABILITY_CARD_FlamingSickle,Foice Flamejante
ABILITY_CARD_BlindingSickle,Foice Cegante
ABILITY_CARD_TwirlingStabs,Facadas giratórias
ABILITY_CARD_FlameShroud,Sudário Flamejante
ABILITY_CARD_ShockingAdvance,Avanço Chocante
ABILITY_CARD_ShieldOfTheDesert,Escudo do Deserto
ABILITY_CARD_DesertNight,Noite do Deserto
ABILITY_CARD_WarriorOfTheSun,Guerreiro do Sol
ABILITY_CARD_BladeDance,Dança da Lâmina
ABILITY_CARD_PrecisionStrike,Golpe de precisão
ABILITY_CARD_HarvestSickle,Foice de colheita
ABILITY_CARD_BarbaricInstincts,Instintos bárbaros
ABILITY_CARD_WarmthOfTheSun,Calor do Sol
ABILITY_CARD_StranglingChain,Corrente de estrangulamento
ABILITY_CARD_RadiantSickle,Foice Radiante
ABILITY_CARD_BurnAwayTheDark,Queime a escuridão
ABILITY_CARD_SandDevil,Diabo de Areia
ABILITY_CARD_FierceBrilliance,Brilho feroz
ABILITY_CARD_FlyingSickle,Foice Voadora
ABILITY_CARD_ViciousBallet,Balé Vicioso
ABILITY_CARD_HornsOfTheBeast,Chifres da Besta
ABILITY_CARD_PrismaticSickle,Foice Prismática
ABILITY_CARD_NoFear,Sem medo
ABILITY_CARD_SoaringShield,Escudo Voador
ABILITY_CARD_HonorableFury,Fúria Honrosa
ABILITY_CARD_TheFavorite,O favorito
ABILITY_CARD_Retrieval,Recuperação
ABILITY_CARD_CloseCuts,Fechar cortes
ABILITY_CARD_CenterMass,Centro de Massa
ABILITY_CARD_StoppingPower,Poder de parada
ABILITY_CARD_DoubleThrow,Arremesso Duplo
ABILITY_CARD_DisorientingBarrage,Barragem Desorientadora
ABILITY_CARD_PowerPitch,Afinação de potência
ABILITY_CARD_FollowThrough,Siga em frente
ABILITY_CARD_SecondWind,Segundo Vento
ABILITY_CARD_CarePackage,Pacote de ajuda
ABILITY_CARD_ExtraLift,Elevação Extra
ABILITY_CARD_FancyHat,Chapéu de fantasia
ABILITY_CARD_RepeatShot,Repetir tiro
ABILITY_CARD_Ricochet,Ricochete
ABILITY_CARD_FearsomeEfficiency,Eficiência Temível
ABILITY_CARD_SharpenedBlades,Lâminas Afiadas
ABILITY_CARD_RippedFromTheFlesh,Arrancado da carne
ABILITY_CARD_Overwatch,Vigilância
ABILITY_CARD_TheNewFavorite,O novo favorito
ABILITY_CARD_Bombardment,Bombardeamento
ABILITY_CARD_QuickTurnaround,Resposta rápida
ABILITY_CARD_ExcessiveForce,Força excessiva
ABILITY_CARD_Brutalize,Brutalizar
ABILITY_CARD_Shrapnel,Estilhaços
ABILITY_CARD_Camaraderie,Camaradagem
ABILITY_CARD_ExecutionersAxe,Machado dos Carrascos
ABILITY_CARD_HeartSeeker,Buscador de corações
ABILITY_CARD_Windup,Conclusão
ABILITY_CARD_CrushingWeight,Peso Esmagador
ABILITY_CARD_KnockOutTheSupport,Acabe com o suporte
ABILITY_CARD_Explode,Explodir
ABILITY_CARD_Implode,Implodir
ABILITY_CARD_PistonPunch,Soco de Pistão
ABILITY_CARD_ExplosiveBlitz,Blitz Explosiva
ABILITY_CARD_TheBigOne,O Maior
ABILITY_CARD_OneTwoPunch,Soco Duplo
ABILITY_CARD_Rubble,Destroços
ABILITY_CARD_Level,Nível
ABILITY_CARD_LobbedCharge,Carga arremessada
ABILITY_CARD_RoboticEnhancement,Aprimoramento Robótico
ABILITY_CARD_CrashProtocol,Protocolo de falha
ABILITY_CARD_FireBombs,Bombas de Fogo
ABILITY_CARD_NowhereToRun,Sem lugar para correr
