key,Português [pt-BR]
051_t,Um aliado adjacente pode <nobr>Renovar <sprite name=Refresh></nobr> um de seus Itens Pequenos <sprite name=InvSmallItem> consumidos.
052_t_1,Mate todos os inimigos na área alvo cujo valor atual de pontos de vida seja igual ou <nobr>inferior a 5</nobr>. 
052_t_2,Ganhe <sprite name=XP1> para cada inimigo morto.
053_b,"No final dos seus próximos quatro turnos, um aliado dentro do <nobr>Alcance <sprite name=Range> 3</nobr> pode <nobr>Recuperar <sprite name=Recover></nobr> uma de suas cartas descartadas."
053_t,Crie uma armadilha de 4 de dano <nobr>CONFUNDIR <sprite name=Muddle></nobr> em um hexágono vazio adjacente. 
054_t,"No final dos seus próximos cinco turnos, realize uma ação de <nobr>""Ataque <sprite name=Attack> 2,</nobr> <nobr>Alcance <sprite name=Range> 5"".</nobr>"
055_t,Invocar Robô Assassino
057_t,Todos os aliados invocados dentro do <nobr>Alcance <sprite name=Range> 3</nobr> <nobr>podem realizar</nobr>
058_b_1,Todos os aliados adjacentes adicionam <nobr>+2 ao Ataque <sprite name=Attack></nobr> para todos os seus ataques nesta rodada.
058_b_2,Todos os aliados adjacentes sofrem 2 de dano.
058_t,Sofra 2 de dano.
060_b,"Um aliado dentro do <nobr>Alcance <sprite name=Range> 3</nobr> pode escolher qualquer carta não equipada de sua classe, até o nível atual, e adicionar ela à sua mão. Este efeito dura até o final do Cenário."
060_t,"Um aliado adjacente pode <nobr>Recuperar <sprite name=Recover></nobr> até duas de suas cartas queimadas, então ele queima duas cartas."
062_t,"Além disso, atinja todos os inimigos <nobr>no trajeto</nobr> até o alvo principal."
063_t,<nobr>Recupere <sprite name=Recover></nobr> todas as suas <nobr>cartas queimadas.</nobr>
066_b,"Nas próximas duas fontes de dano a você, em vez disso, <nobr>não sofra dano.</nobr>"
069_t_1,"Em seus próximos quatro ataques, <nobr>adicione +*TActive* ao Ataque <sprite name=Attack>.</nobr>"
069_t_1_alt,"Em seus próximos quatro ataques, <nobr>adicione +2 ao Ataque <sprite name=Attack>.</nobr>"
069_t_2,"Em vez disso, adicione +2 ao Ataque <sprite name=Attack>."
071_t,Invocar Aliado Místico
076_b_1,onde X é a metade do valor máximo dos pontos de vida desse aliado <nobr>(arredondado para baixo).</nobr>
076_b_2,"Em vez disso, X é o valor máximo dos pontos de vida desse aliado."
079_b,"Nos próximos cinco ataques corpo a corpo visando você, ganhe <nobr>Retaliar <sprite name=Retaliate> *BRetaliate*.</nobr>"
080_b,Invocar Avatar em Chamas
080_t,"Todos os inimigos adjacentes ao <nobr>alvo sofrem 2 de dano, <sprite name=XP1>.</nobr>"
082_t,Recupere <sprite name=Recover> até duas de suas <nobr>cartas queimadas.</nobr>
084_t_1,"Em vez disso, Saquear <sprite name=Loot> 3, <sprite name=XP1>"
084_t_2,Você não pode saquear mais do que quatro pilhas de ouro ou peças de tesouro com esta ação. 
085_b,"Nas próximas três fontes de dano de ataques visando você, em vez disso, não sofra dano e ganhe <nobr>Retaliar <sprite name=Retaliate> 3,</nobr> <nobr>Alcance <sprite name=Range> 3.</nobr>"
086_b_1,Escolha um hexágono dentro do <nobr>Alcance <sprite name=Range> 4.</nobr>
086_b_2,Atinja todos os inimigos dentro do <nobr>Alcance <sprite name=Range> 4</nobr> do hexágono escolhido e puxe eles em direção ao hexágono.
087_t_1,Atinja todos os inimigos na mesma sala que você
087_t_2,Todos os aliados na mesma sala que você sofrem 2 de dano.
088_b,"Em seus próximos quatro ataques que visarem inimigos que não estão adjacentes a nenhum dos aliados deles, adicione <nobr>+2 ao Ataque <sprite name=Attack>.</nobr>"
088_t,Adicione <nobr>+2 ao ataque <sprite name=Attack></nobr>e ganhe <sprite name=XP1>quando o alvo estiver adjacente a qualquer <nobr>um de seus aliados.</nobr>
090_t,"Em seu próximo ataque enquanto <nobr>INVISÍVEL <sprite name=Invisible></nobr>, dobre o valor do ataque e ganhe <sprite name=XP2>."
091_t,Adicione <nobr>+2 ao ataque <sprite name=Attack></nobr>e ganhe <sprite name=XP1> quando o alvo não estiver adjacente a nenhum de seus aliados. 
092_t,Desarme uma armadilha adjacente.
097_b_1,Force um inimigo adjacente a executar
097_b_2,com você controlando a ação e terminando em um hexágono adjacente a você. 
097_t_1,Adicione <nobr>+1 ao Ataque <sprite name=Attack></nobr>para cada um de seus aliados adjacentes ao alvo. 
097_t_2,"Em vez disso, adicione <nobr>+2 ao Ataque <sprite name=Attack></nobr> <sprite name=XP1>."
098_b,"Na próxima vez que você sofrer dano nesta rodada, não sofra dano."
098_t,Adicione +X ao Ataque <sprite name=Attack> onde X é o dobro do valor do Escudo do alvo.
099_b,Saquear <sprite name=Loot> cada hexágono em que você entrar com esta ação. 
100_t,Adicione FERIMENTO <sprite name=Wound> e ganhe <sprite name=XP1> quando o alvo estiver adjacente a qualquer um <nobr>de seus aliados.</nobr> 
103_b,Adicione +2 ao Ataque <sprite name=Attack> a todos os seus ataques nesta rodada visando inimigos adjacentes a nenhum de seus aliados. 
104_b,Ganhe vantagem em todos os seus ataques nesta rodada.
105_t_1,Adicione <nobr>+3 ao ataque <sprite name=Attack></nobr> e ganhe <sprite name=XP1> quando o alvo estiver adjacente a qualquer um <nobr>de seus aliados.</nobr>
105_t_2,Adicione <nobr>+3 ao ataque <sprite name=Attack></nobr> e ganhe <sprite name=XP1> quando o alvo não estiver adjacente a nenhum <nobr>de seus aliados.</nobr>
106_b,"Em seus próximos seis ataques visando inimigos com <nobr>DESARMAR <sprite name=Disarm></nobr>, <nobr>IMOBILIZAR <sprite name=Immobilize></nobr> ou <nobr>ATORDOAR <sprite name=Stun></nobr>, <nobr>adicione +2 ao Ataque <sprite name=Attack>.</nobr>"
107_t,Mate um inimigo normal adjacente que não esteja adjacente a um dos aliados dele e esteja adjacente a um <nobr>de seus aliados.</nobr>
108_t,Adicione <nobr>+2 ao Ataque <sprite name=Attack></nobr> a todos os seus ataques visando inimigos com <nobr>VENENO <sprite name=Poison>.</nobr>
110_t,Adicione <nobr>+4 ao ataque <sprite name=Attack></nobr> e ganhe <sprite name=XP2> quando o alvo estiver adjacente a qualquer um de seus aliados. 
111_b,"Em seu próximo ataque visando um inimigo adjacente a nenhum dos aliados dele e também adjacente a qualquer um de seus aliados, dobre o valor do ataque e do ganhe <sprite name=XP2>."
111_t,Vise um inimigo dentro do <nobr>Alcance <sprite name=Range> 3</nobr> para sofrer os efeitos da <nobr>armadilha desarmada</nobr>.
113_b,Mate um inimigo adjacente cujo valor de ponto de vida atual seja igual ou menor que 3.
114_b,"Force um inimigo normal ou de elite adjacente a realizar seu turno nesta rodada como os aliados dele fossem inimigos e os inimigos dele fossem aliados, com você controlando as ações."
115_t,Adicione <nobr>VENENO <sprite name=Poison></nobr> e <nobr>FERIMENTO <sprite name=Wound></nobr>a todos os seus ataques.
116_b,"Nos próximos seis ataques corpo a corpo visando você, ganhe <nobr>Retaliar <sprite name=Retaliate> *BRetaliate*.</nobr>"
118_b,Crie dois obstáculos de hexágono único em hexágonos vazios adjacentes a você.
119_b,Todos os aliados e inimigos adjacentes sofrem *BDamage* de dano.
120_t,Todos os aliados e inimigos adjacentes ao alvo sofrem 1 de dano.
121_t,"Em suas próximas quatro ações de ataque de longo alcance, ganhe ADICIONAR ALVO <sprite name=Target>."
122_t,Destrua um obstáculo adjacente.
123_b,Todos os aliados sofrem<nobr> *BShieldSubDamage* de dano</nobr>.
123_t_2,Todos os aliados adjacentes sofrem <nobr>*TDamage* de dano</nobr>.
124_b_1,Todos os aliados e inimigos adjacentes <nobr>sofrem *BDamage1* de dano</nobr>.
124_b_2,Todos os aliados e inimigos adjacentes <nobr>sofrem *BDamage2* de dano</nobr>.
124_b_3,"<nobr>em vez disso, 2 de dano, <sprite name=XP1></nobr>"
125_t,<nobr>CONFUNDIR <sprite name=Muddle></nobr> todos os aliados e inimigos na área visada.
127_b,Adicione +1 ao Ataque <sprite name=Attack> em todos os seus ataques de longo alcance nesta rodada.
127_t,"Você pode empurrar o alvo em hexágonos contendo obstáculos. Em cada caso, destrua o obstáculo, o alvo sofre 2 de dano e você ganha <sprite name=XP1>."
128_b,Adicione +2 ao Ataque <sprite name=Attack> em todos os seus ataques corpo a corpo nesta rodada.
129_b,"Em suas próximas seis ações de Ataque de longo alcance, enquanto <nobr>Ar <sprite name=Air></nobr> estiver atualmente infundido, consuma <nobr>Ar <sprite name=ConsumeAir></nobr> para adicionar <nobr>+2 ao Alcance <sprite name=Range></nobr> para toda a ação de Ataque."
130_t,Vise todos os inimigos adjacentes ao obstáculo destruído.
131_t,Afeta todos os aliados na área de destino 
132_b,Destrói todos os obstáculos e desarma todas as armadilhadas atravessadas
132_t_1,Mova um obstáculo de hexágono único adjacente para um hexágono vazio dentro do <nobr>Alcance <sprite name=Range> 4</nobr>.
132_t_2,Vise todos os inimigos adjacentes ao obstáculo movido 
134_t_1,Crie três obstáculos de hexágono único em hexágonos vazios dentro do <nobr>Alcance <sprite name=Range> 4.</nobr>
134_t_2,Todos os aliados e inimigos adjacentes a um ou mais dos obstáculos criados sofrem 2 de dano.
136_t_1,Mate um inimigo normal dentro do <nobr>Alcance <sprite name=Range> 4.</nobr>
136_t_2,Crie um obstáculo de hexágono único no hexágono em que o inimigo morreu.
137_b,"Em seus próximos quatro ataques corpo a corpo, quando possível, destrua um obstáculo adjacente para adicionar <nobr>+3 ao Ataque <sprite name=Attack></nobr>."
138_t,Crie uma armadilha atordoante <sprite name=Stun> de 2 de dano em um hexágono vazio adjacente. 
139_t,IMOBILIZAR <sprite name=Immobilize> todos os aliados e inimigos na área selecionada. 
140_t_1,Crie um obstáculo triangular de três hexágonos em hexágonos vazios dentro do <nobr>Alcance <sprite name=Range> 3</nobr>.
140_t_2,Vise todos os inimigos adjacentes ao obstáculo.
141_b_1,Adicione +1 ao Ataque <sprite name=Attack> a todos os seus ataques à distância nesta rodada. 
141_b_1_alt,Adicione +2 de Ataque <sprite name=Attack> a todos os seus ataques de longo alcance nesta rodada. 
141_b_2,"Em vez disso, adicione +2 ao Ataque <sprite name=Attack> ,<sprite name=XP1>."
141_t,"Para cada hexágono em que você não pode empurrar o alvo por causa de uma parede ou obstáculo, o alvo sofre 2 pontos de dano e você ganha <sprite name=XP1>."
142_b,O movimento deve terminar em um hexágono adjacente a um obstáculo. 
142_t_1,Destrua todos os obstáculos dentro do <nobr>Alcance <sprite name=Range> 2.</nobr>
142_t_2,onde X é o dobro do número de hexágonos ocupados pelos obstáculos destruídos. 
143_b,"No início dos próximos cinco turnos, execute uma ação <nobr>""Curar <sprite name=Heal> 2,</nobr> <nobr>Alcance <sprite name=Range> 2"".</nobr>"
144_b,Todos os aliados e inimigos adjacentes a quaisquer hexágonos em que você entrar durante o movimento sofrem <nobr>2 de dano.</nobr>
144_t,Todos os aliados e inimigos adjacentes ao alvo sofrem dano igual ao dano sofrido por ele.
145_t,"Você pode empurrar o alvo em hexágonos contendo obstáculos. Em cada caso, destrua o obstáculo, o alvo sofre 2 de dano e você ganha <sprite name=XP1>."
146_b_1,Force um inimigo com <nobr>Alcance <sprite name=Range> 5 </nobr> a realizar
146_b_2,visando outro inimigo com você controlando a ação
146_t,Adicione +1 ao Ataque <sprite name=Attack> para cada condição negativa no alvo.
149_b,"Se você finalizar o movimento no mesmo hexágono que você começou, realize"
150_t,Invocar Rato da Praga
152_b,Force um inimigo com <nobr>Alcance <sprite name=Range> 4 </nobr> realizar
154_t,Adicione <nobr>+2 ao Ataque <sprite name=Attack></nobr> e ganhe <sprite name=XP1> para cada condição negativa no alvo.
157_b,Um aliado com <nobr>Alcance <sprite name=Range> 3</nobr> <nobr>pode realizar</nobr>
157_t,Um aliado adjacente pode realizar
159_t,Invocar Rato Monstruoso
160_b,Force um inimigo normal ou elite com <nobr>Alcance <sprite name=Range> 3</nobr> a realizar seu turno nesta rodada como os aliados dele fossem inimigos e os inimigos dele fossem aliados.
163_t,Ganhe uma pilha de ouro adicional para cada inimigo adjacente.
164_t_1,Mate um inimigo normal com <nobr>Alcance <sprite name=Range> 4.</nobr>
164_t_2,Vise todos inimigos adjacentes ao inimigo morto
165_b,"Você pode ter dois <nobr><color=#A7B3D2>Aumentos</color> <sprite name=Augment></nobr> ativos de uma vez. Se um terceiro <nobr><color=#A7B3D2>Aumento</color> <sprite name=Augment></nobr> for jogado, descarte um dos outros."
166_b,Force um inimigo dentro de <nobr>Alcance <sprite name=Range> 5 </nobr> a realizar
170_b,Todos seus ataques de longo alcance ganham os efeitos de seus <nobr><color=#A7B3D2>Aumentos</color> <sprite name=Augment></nobr> nesta rodada.
172_b,"Force um inimigo normal ou elite dentro do <nobr>Alcance <sprite name=Range> 5</nobr> a realizar seu turno esta rodada como se os aliados dele fossem inimigos e inimigos fossem aliados, com você controlando as ações."
172_t,Este ataque ganha os efeitos de seus <nobr> <color=#A7B3D2>Aumentos</color> <sprite name=Augment>.</nobr>
173_b,"Todos os aliados dentro de <nobr>Alcance <sprite name=Range> 2</nobr> adicionam <nobr>+X Ataque</nobr> a todos seus ataques nesta rodada, onde X é o número de aliados dentro de <nobr>Alcance <sprite name=Range> 2</nobr> de você."
173_t_1,Invocar Rei dos Ratos
173_t_2,X é metade da vida atual do <nobr>Rei dos Ratos</nobr> (arredondado para cima).
175_t,Nos próximos cinco ataques corpo a corpo que o tenham como alvo ganham <nobr>Retaliar <sprite name=Retaliate> *TRetaliate*.</nobr>
177_t,Um aliado adjacente pode <nobr>Recuperar <sprite name=Recover></nobr> uma de suas cartas queimadas.
178_t_1,Um aliado adjacente pode <nobr>Recuperar <sprite name=Recover></nobr> duas de suas cartas descartadas.
178_t_2,"Até três cartas descartadas em vez disso, <sprite name=XP1>."
179_b,Você e todos os aliados adjacentes não sofrem dano durante esta rodada.
184_b,Reduza -1 ao Mover <sprite name=Move> de todos os seus movimentos.
185_t,Cure todo o dano de um <nobr> aliado adjacente.</nobr>
187_b,"<line-height=110%>No final dos seus próximos cinco turnos, quando <size=150%><voffset=-3><sprite name=Light></voffset></size> não estiver Forte, infundir <size=150%><voffset=-3><sprite name=Light></voffset></size>."
190_t,Um aliado adjacente pode realizar um turno extra ao jogar duas cartas da mão dele.
192_b,Todos os aliados dentro de <nobr>Alcance <sprite name=Range> 5</nobr> <nobr>podem realizar</nobr>
194_b,"Todos os ataques que tenham você ou qualquer aliado como alvo, em até <nobr>Alcance <sprite name=Range> 4</nobr> de você, possuem Desvantagem nessa rodada."
196_t,Reduza <nobr>-1 ao Ataque <sprite name=Attack></nobr> de todos seus ataques.
197_b,Todos aliados adicionam <nobr>+2 ao Mover <sprite name=Move></nobr> a todos os movimentos deles nesta rodada.
197_t,Todos os aliados adicionam <nobr>+1 ao Ataque <sprite name=Attack></nobr> a todos os seus ataques nesta rodada.
199_t,"Durante qualquer das suas ações de Ataque, você pode <sprite name=ConsumeLight> para adicionar <nobr>+2 ao Ataque <sprite name=Attack></nobr>, ganhe Vantagem e <sprite name=XP1>."
200_b,"Até duas cartas queimadas em vez disso, <sprite name=XP1>"
202_t,"Mate um inimigo normal ou elite em vez disso, <sprite name=XP1>"
203_t,"Em suas próximas quatro ações de Ataque, adicione <nobr>+3 ao Ataque <sprite name=Attack></nobr>, <nobr>FERIMENTO <sprite name=Wound></nobr>, e ganhe Vantagem."
204_t,"Quando qualquer aliado sofrer dano, você pode sofrê-lo reduzido por 1 em vez disso."
205_t,Todos os aliados dentro do <nobr>Alcance <sprite name=Range> 2</nobr> podem <nobr>Renovar <sprite name=Refresh></nobr> um de seus itens gastos ou consumidos.
206_b,<nobr>Renovar <sprite name=Refresh></nobr> todos os seus <nobr>Itens Pequenos <sprite name=InvSmallItem></nobr> consumidos.
207_b,Você e todos os aliados dentro de <nobr>Alcance <sprite name=Range> 2</nobr> adicionam <nobr>+1 ao Ataque <sprite name=Attack></nobr> a todos seus ataques nesta rodada.
208_t,"Uma vez durante cada uma de suas ações de Ataque, se você usar um item, adicione <nobr>+1 ao Ataque <sprite name=Attack></nobr> à ação de Ataque completa."
215_t,<nobr>Renovar <sprite name=Refresh></nobr> um de seus <nobr>Itens Pequenos <sprite name=InvSmallItem></nobr> consumidos.
216_t,Um aliado adjacente pode <nobr>Renovar <sprite name=Refresh></nobr> todos os seus itens gastos.
217_b,<nobr>Recupere <sprite name=Recover></nobr> até duas de suas cartas descartadas.
217_t,Você ou um aliado adjacente pode <nobr>Renovar <sprite name=Refresh></nobr> um <nobr>Item de Uma Mão <sprite name=InvOneHand></nobr> ou <nobr>Item de Duas Mãos <sprite name=InvTwoHands></nobr> gasto ou consumido.
219_b,<nobr>Recupere <sprite name=Recover></nobr> até duas de suas cartas queimadas.
219_t,"No fim de cada um de seus turnos, você pode descartar uma carta para permitir que um aliado adjacente possa <nobr>Renovar <sprite name=Refresh></nobr> um dos seus <nobr>Itens Pequenos <sprite name=InvSmallItem></nobr> consumido."
221_t,Um aliado adjacente pode <nobr>Renovar <sprite name=Refresh></nobr> todos os seus itens gastos e consumidos.
223_t,"No fim de cada rodada, <nobr>Renovar <sprite name=Refresh></nobr> um de seus itens gastos."
224_t,Você e todos os inimigos dentro do <nobr>Alcance <sprite name=Range> 4</nobr> sofrem 2 de dano.
225_b,Você e todos os inimigos normais na área visada sofrem 7 de dano.
226_t,"Se algum aliado adjacente fizer um ataque de longo alcance, este aliado pode <nobr>ADICIONAR ALVO <sprite name=Target></nobr> neste ataque."
228_b,Um aliado pode <nobr>Recuperar <sprite name=Recover></nobr> todas as cartas descartadas dele.
228_t,"Sempre que você fizer um descanso longo, <nobr>Renovar <sprite name=Refresh></nobr> um dos seus itens consumidos."
229_b,"Durante todos os seus ataques nesta rodada, ignore o valor de Escudo de todos os seus alvos."
230_t,"No final dos seus próximos cinco turnos, realize uma ação de ""<nobr>Curar <sprite name=Heal> 2</nobr>, Afete todos os aliados adjacentes""."
231_t,Mate um inimigo normal ou elite adjacente.
232_b,Você e todos os aliados adjacentes podem <nobr>Renovar <sprite name=Refresh></nobr> todos os seus <nobr>Itens Pequenos<sprite name=InvSmallItem></nobr> consumidos.
235_b,"Todos os ataques que, tenham você e todos os aliados invocados como alvo, ganham Desvantagem nesta rodada. "
235_t,2 Lobos das Sombras
236_b,Recupere<sprite name=Recover> até quatro de suas <nobr>cartas perdidas.</nobr>
238_t,Um aliado invocado adjacente realiza
245_t,"Em qualquer uma de suas ações de Mover, ou as ações de Mover de qualquer aliado que você invocou, você pode <sprite name=ConsumeEarth> para adicionar <nobr>+2 ao Mover <sprite name=Move></nobr> e ganhar <sprite name=XP1>."
247_t,Mate todos os inimigos normais adjacentes cujo valor atual de pontos de vida é igual ou menor que 5.
250_t,Dois aliados invocados dentro de <nobr>Alcance <sprite name=Range> 2</nobr> realizam
253_t,3 Esferas de Unhas
257_b,Remova todas as cartas de <nobr>MALDIÇÃO<sprite name=Curse></nobr> do seu baralho de modificadores de ataque e então embaralhe a pilha de descarte de volta no baralho.
257_t,"As próximas três vezes que seis aliados invocados sofrerem dano, eles não sofrem nenhum dano."
258_b,Troque de posição com qualquer um de seus aliados invocados.
258_t,Um aliado invocado dentro de <nobr>Alcance <sprite name=Range> 3</nobr> realiza
260_b,Todos os aliados invocados dentro de <nobr>Alcance <sprite name=Range> 3</nobr> realizam
261_t,"Durante suas próximas quatro ações de Ataque enquanto <nobr>INVISÍVEL <sprite name=Invisible></nobr>, realize um <nobr>""Ataque <sprite name=Attack> 2</nobr>, <nobr>Alcance <sprite name=Range> 3</nobr>"" como parte final da ação."
263_b,"Dobre o valor de todas as suas habilidades de <nobr>Ataque <sprite name=Attack></nobr> jogadas durante o resto deste turno, <sprite name=XP1>"
263_t,"Dobre o valor de todas as habilidades de <nobr>Movimento <sprite name=Move></nobr> jogadas durante o resto deste turno, <sprite name=XP1>"
266_t,"Em vez disso, mate um inimigo normal, <sprite name=XP1>"
268_t,Adicione <nobr>+2 ao Ataque <sprite name=Attack></nobr> e ganhe <sprite name=XP1> se você estiver <nobr>INVISÍVEL <sprite name=Invisible></nobr>.
270_b,"Antes das suas quatro próximas ações de Ataque, realize uma ação de ""<nobr>Mover <sprite name=Move> 2</nobr>""."
271_b,Mova-se para qualquer hexágono desocupado. Você não pode se mover através de uma porta fechada.
274_t,Adicione <nobr>ATORDOAR <sprite name=Stun></nobr> e ganhe <sprite name=XP1> se você estiver <nobr>INVISÍVEL <sprite name=Invisible></nobr>. 
277_t,"<line-height=110%>No final dos seus próximos três turnos em que <size=150%><voffset=-3><sprite name=Dark></voffset></size> não esteja Forte, infundir <size=150%><voffset=-3><sprite name=Dark></voffset></size>."
279_b,"Durante suas próximas quatro ações de Movimento enquanto <nobr>INVISÍVEL<sprite name=Invisible></nobr>, realize um ""<nobr>Ataque<sprite name=Attack> 2</nobr>"", visando todos os inimigos adjacentes, como parte final da ação."
283_t_1,Ganhe vantagem em todos os seus ataques.
283_t_2,Você pode visar inimigos <nobr>INVISÍVEIS <sprite name=Invisible></nobr>.
286_t,"Adicione <nobr>VENENO <sprite name=Poison></nobr>, <nobr>CONFUNDIR <sprite name=Muddle></nobr>, <nobr>FERIMENTO <sprite name=Wound></nobr> e ganhe <sprite name=XP1> se você estiver <nobr>INVISÍVEL <sprite name=Invisible></nobr>."
287_b,"Mate um inimigo normal adjacente, <sprite name=XP1>"
287_t,"Em vez disso, mate todos os alvos normais adjacentes, <sprite name=XP2>"
288_t,"Em seus próximos cinco ataques enquanto <nobr>INVISÍVEL <sprite name=Invisible></nobr>, adicione <nobr>ATORDOAR <sprite name=Stun></nobr> ao ataque."
289_t,Aplique <nobr>VENENO <sprite name=Poison></nobr> a todos os aliados e inimigos na área visada.
290_b,Reduza <nobr>-1 ao Alcance <sprite name=Range></nobr> de todos os seus ataques de longo alcance.
292_t,"Uma vez durante cada uma de suas ações de Ataque, você pode aplicar <nobr>VENENO <sprite name=Poison></nobr> a um aliado dentro do <nobr>Alcance <sprite name=Range> 2</nobr> (ou causar 3 de dano se o aliado já estiver <nobr>ENVENENADO <sprite name=Poison></nobr>) para adicionar <nobr>+1 ao Ataque <sprite name=Attack></nobr> para toda a ação de Ataque."
298_t,"Em suas próximas seis ações de Ataque em que <nobr>Ar <sprite name=Air></nobr> estiver atualmente infundido, consuma <nobr>Ar <sprite name=ConsumeAir></nobr> para adicionar <nobr>+1 ao Ataque <sprite name=Attack></nobr> para toda a ação de Ataque."
300_b,"Após cada uma de suas ações de Movimento, aplique <nobr>VENENO<sprite name=Poison></nobr> a todos os aliados e inimigos adjacentes."
301_t,Remova <nobr>VENENO <sprite name=Poison></nobr> de algum inimigo para causar <nobr>3 de dano</nobr> nele.
304_t,Aplique <nobr>VENENO <sprite name=Poison></nobr> a todos os aliados adjacentes ao <nobr>alvo.</nobr>
305_t,Mate um inimigo normal com <nobr>VENENO <sprite name=Poison></nobr> dentro do <nobr>Alcance <sprite name=Range> 3.</nobr>
309_t,Todos os inimigos <nobr>ENVENENADOS <sprite name=Poison></nobr> sofrem <nobr>1 de dano.</nobr>
310_b,Todos os aliados <nobr>ENVENENADOS<sprite name=Poison></nobr> podem <nobr>Recuperar<sprite name=Recover></nobr> até duas das cartas descartadas deles.
310_t,"Uma vez em cada uma de suas ações de Movimento, você pode sofrer 1 de dano para causar 3 de dano a qualquer inimigo <nobr>ENVENENADO <sprite name=Poison></nobr>."
314_t,"Se uma <nobr>MALDIÇÃO <sprite name=Curse></nobr> fizer com que um inimigo não cause dano durante o seu ataque, este inimigo sofre <nobr>3 de dano.</nobr>"
316_b,Duplique o valor da sua próxima ação de Ataque nesta rodada.
316_t,"Durante suas próximas seis ações de Ataque, aplique <nobr>MALDIÇÃO <sprite name=Curse></nobr> a um aliado dentro do <nobr>Alcance <sprite name=Range> 2</nobr> para ganhar dois efeitos de <nobr>ADICIONAR ALVO <sprite name=Target></nobr>."
317_b,Todos os inimigos <nobr>ENVENENADOS<sprite name=Poison></nobr> sofrem <nobr>2 de dano.</nobr>
318_b_1,Todos os aliados <nobr>ENVENENADOS<sprite name=Poison></nobr> sofrem <nobr>2 de dano.</nobr>
318_b_2,"Para cada dois aliados que sofreram danos, adicione <nobr>+1 ao Ataque <sprite name=Attack></nobr> em todos os seus ataques nesta rodada e ganhe <sprite name=XP1>"
320_b,"Se você estiver com menos pontos de vida do que a metade do seu valor máximo de pontos de vida (arredondado para cima), ganhe <sprite name=XP1> e realize"
321_t,Você sofrer 2 de dano para adicionar <nobr>+2 ao Ataque <sprite name=Attack></nobr> e ganhar <sprite name=XP1>
322_b,"Nas próximas três frontes de dano em você que reduziriam seus pontos de vida abaixo de 1, não sofra <nobr>nenhum dano</nobr>."
322_t,Adicione <nobr>+2 ao Ataque <sprite name=Attack></nobr> e ganhe <sprite name=XP1> se seu valor de pontos de vida atual for menor que a metade do seu valor máximo de pontos de vida (arredondado para cima).
324_b_1,Adicione <nobr>+1 ao Ataque <sprite name=Attack></nobr> para todos os seus ataques.
324_b_2,Sofra 1 de dano no início de cada um de seus turnos.
324_t,Sofra dano igual à metade de seu valor de pontos de vida atual (arredondado para cima).
325_b,"Nas próximas quatro vezes que você for curada, adicione <nobr>+2 de Cura <sprite name=Heal></nobr>."
326_t,Você pode sofrer 2 de dano para adicionar <nobr>ATORDOAR <sprite name=Stun></nobr> e ganhar <sprite name=XP1>
329_b,"Você pode se curar acima do limite até um máximo de 26 pontos de vida, mas o seu valor máximo de pontos de vida continua o mesmo para fins dos efeitos de todas as habilidades."
330_t,Reduza o valor atual de seus pontos de vida para 1. <br>Isso não é considerado dano.
